fraud_YN,car_model,sharing_type,age_group,has_previous_accident,cumulative_use_count,b2b,accident_ratio,pf_type,socarpass,socarsave,start_hour,duration,accident_hour,repair_cost,insure_cost,accident_location,car_part1,car_part2,repair_cnt,acc_type1,insurance_site_aid_YN,police_site_aid_YN,total_prsn_cnt,test_set
1,2,0,4,0,2,0,100,3,0,0,5,2,5,387896.8028,963800,2,0,0,1,1,2,1,0,0
0,1,0,1,0,1,0,100,1,0,0,2,1,1,0,466000,0,0,1,1,1,1,1,1,0
0,1,0,3,0,2,0,100,1,0,0,6,1,2,0,0,0,0,0,1,0,0,0,-1,0
0,1,0,2,0,1,0,100,1,0,0,5,1,6,496286.6048,0,2,1,0,3,0,0,0,-1,0
0,2,0,1,0,1,0,10,1,0,0,2,1,2,45629.84187,668650,1,1,0,2,1,1,1,3,0
0,2,0,1,1,3,0,30,1,0,0,5,3,5,227859.3927,2239960,1,0,0,2,1,1,1,3,1
0,1,0,5,0,2,0,100,1,0,1,3,2,4,716075.9061,0,2,0,0,2,0,0,0,-1,0
0,2,0,2,0,2,0,100,3,0,0,2,3,2,161979.0189,0,0,0,0,1,0,0,0,-1,0
0,2,0,2,0,3,0,100,1,1,0,4,2,5,211760.7286,0,0,0,0,1,0,0,0,-1,1
0,1,0,1,0,2,0,100,1,0,0,5,3,6,0,0,0,0,0,1,0,0,0,-1,1
0,2,0,1,0,2,0,100,2,0,1,5,1,6,116836.8179,0,0,1,0,1,0,0,0,-1,1
0,5,0,4,0,4,0,100,2,1,0,1,4,1,1669360.056,0,1,0,0,2,0,0,0,-1,0
0,5,0,4,1,4,0,100,2,1,0,6,3,2,202324.5913,582700,0,0,0,1,1,1,1,1,0
0,4,0,4,0,4,0,100,2,1,0,5,1,6,0,135050,0,0,0,1,0,0,0,-1,0
0,2,0,2,0,3,0,100,3,0,0,5,1,5,157850.167,422000,0,0,1,1,0,0,0,-1,0
0,2,0,4,0,4,0,100,3,1,0,4,3,2,848493.6258,6668140,1,0,0,1,1,1,1,0,1
0,1,0,2,0,1,0,100,2,0,0,5,1,6,260581.6967,0,0,0,0,0,0,1,1,0,0
0,5,0,1,0,2,0,30,2,0,0,6,1,6,47915.52843,95100,1,1,0,1,0,0,0,-1,0
0,2,1,3,0,4,0,100,2,0,0,3,4,2,0,0,5,0,0,1,0,0,0,-1,0
1,2,0,3,1,4,0,100,1,0,0,5,3,1,0,0,0,0,0,1,0,0,0,-1,1
0,2,1,2,0,3,0,0,1,1,0,2,3,6,0,0,1,1,0,1,1,2,1,0,0
0,2,0,2,0,1,0,100,2,0,0,5,2,2,0,0,4,1,0,1,0,0,0,-1,0
0,2,1,3,0,4,0,100,2,0,0,3,4,4,312351.9019,4735500,2,0,0,1,0,0,0,-1,0
0,2,0,2,0,1,0,100,1,0,0,4,3,2,9940.060111,201160,1,0,0,1,0,0,0,-1,0
0,1,0,1,0,4,0,100,3,0,0,2,1,1,500062.3623,1226400,2,0,1,1,0,0,0,-1,0
0,1,1,2,0,3,0,100,1,0,0,5,2,6,1451004.884,800490,1,0,0,3,0,0,0,-1,0
0,1,0,2,0,3,0,100,2,0,0,4,1,5,206697.6665,0,1,0,1,1,0,0,0,-1,0
0,2,0,2,0,1,0,100,1,0,1,2,1,1,170893.3234,0,0,0,0,1,0,0,0,-1,0
0,1,0,2,0,4,0,70,2,0,0,2,1,1,117180.3202,454713,1,0,1,1,0,0,0,-1,0
0,1,0,1,0,3,0,30,2,0,0,1,5,1,0,0,1,0,1,1,0,0,0,-1,0
0,2,0,2,0,3,0,100,1,0,0,2,2,2,0,0,2,1,0,2,0,0,0,-1,0
0,1,0,2,0,4,0,90,1,0,0,6,1,6,133867.6171,602270,2,1,0,1,1,1,1,1,1
0,1,0,1,0,3,0,100,1,0,0,6,2,2,1893560.285,0,2,0,0,1,0,0,0,-1,0
0,2,0,3,0,2,0,100,1,0,0,2,3,2,0,0,4,0,0,1,0,0,0,-1,0
0,1,0,3,0,2,0,100,1,1,0,2,1,2,1007746.251,0,0,1,0,1,0,0,0,-1,0
0,2,0,3,0,4,0,100,2,0,0,4,3,6,674815.2946,1413310,1,0,1,6,1,1,1,1,0
1,1,0,3,1,4,0,0,1,0,0,4,3,1,0,0,1,1,0,1,1,1,1,0,1
0,1,0,1,0,2,0,100,2,0,0,4,3,6,105781.4521,579290,1,0,0,1,0,0,0,-1,0
0,2,0,2,0,2,0,100,1,0,0,4,1,5,256590.9726,0,1,1,0,1,0,0,0,-1,0
0,2,0,1,0,4,0,100,2,0,0,1,1,1,652900.7868,0,1,0,0,3,0,0,0,-1,0
